TIMESTAMP    TEMP  ARM_FREQ
315          43.0      1500
316          43.0      1500
317          43.0      1500
318          43.0      1500
319          42.0      1500
320          43.0      1500
321          43.0      1500
322          43.0      1500
323          43.0      1500
324          42.0      1500
325          42.0      1500
326          42.0      1500
327          43.0      1500
328          43.0      1500
329          43.0      1500
330          43.0      1500
331          44.0      1500
332          42.0      1500
333          43.0      1500
334          43.0      1500
335          42.0      1500
336          43.0      1500
337          42.0      1500
338          43.0      1500
339          43.0      1500
340          43.0      1500
341          43.0      1500
342          43.0      1500
343          43.0      1500
344          42.0      1500
345          42.0      1500
346          42.0      1500
347          44.0      1500
348          43.0      1500
349          43.0      1500
350          43.0      1500
351          42.0      1500
352          43.0      1500
353          43.0      1500
354          42.0      1500
355          43.0      1500
356          43.0      1500
357          42.0      1500
358          43.0      1500
359          43.0      1500
360          43.0      1500
361          41.0       600
362          40.0       600
363          40.0       600
364          41.0       600
365          40.0       600
366          39.0       600
367          39.0       600
368          38.0       600
369          39.0       600
370          39.0       600
371          38.0       600
372          39.0       600
373          38.0       600
374          38.0       600
375          38.0       600
376          38.0       600
377          37.0       600
378          38.0       600
379          37.0       600
380          37.0       600
381          37.0       600
382          38.0       600
383          37.0       600
384          37.0       600
385          37.0       600
386          38.0       600
387          38.0       600
388          37.0       600
389          35.0       600
390          36.0       600
391          37.0       600
392          37.0       600
393          36.0       600
394          37.0       600
395          37.0       600
396          36.0       600
397          37.0       600
398          36.0       600
399          37.0       600
400          37.0       600
401          36.0       600
402          36.0       600
403          36.0       600
404          37.0       600
405          36.0       600
406          37.0       600
407          36.0       600
408          36.0       600
409          36.0       600
410          36.0       600
411          35.0       600
412          36.0       600
413          35.0       600
414          36.0       600
415          37.0       600
416          36.0       600
417          36.0       600
418          36.0       600
419          37.0       600
420          36.0       600
421          35.0       600
422          35.0       600
423          36.0       600
424          36.0       600
425          35.0       600
426          35.0       600
427          36.0       600
428          36.0       600
429          36.0       600
430          36.0       600
431          36.0       600
432          36.0       600
433          36.0       600
434          36.0       600
435          36.0       600
436          36.0       600
437          36.0       600
438          36.0       600
439          35.0       600
440          35.0       600
441          36.0       600
442          35.0       600
443          36.0       600
444          36.0       600
445          36.0       600
446          35.0       600
447          36.0       600
448          35.0       600
449          36.0       600
450          36.0       600
451          35.0       600
452          35.0       600
453          35.0       600
454          35.0       600
455          36.0       600
456          36.0       600
457          35.0       600
458          35.0       600
459          35.0       600
460          35.0       600
461          36.0       600
462          35.0       600
463          35.0       600
464          35.0       600
465          35.0       600
466          35.0       600
467          36.0       600
468          35.0       600
469          35.0       600
470          36.0       600
471          35.0       600
472          35.0       600
473          35.0       600
474          36.0       600
475          35.0       600
476          36.0       600
477          35.0       600
478          36.0       600
479          35.0       600
480          36.0       600
481          35.0       600
482          36.0       600
483          35.0       600
484          36.0       600
485          35.0       600
486          35.0       600
487          36.0       600
488          35.0       600
489          35.0       600
490          35.0       600
491          35.0       600
492          35.0       600
493          35.0       600
494          36.0       600
495          35.0       600
496          35.0       600
497          35.0       600
498          35.0       600
499          36.0       600
500          35.0       600
501          35.0       600
502          35.0       600
503          35.0       600
504          35.0       600
505          35.0       600
506          36.0       600
507          35.0       600
508          35.0       600
509          35.0       600
510          35.0       600
511          35.0       600
512          35.0       600
513          35.0       600
514          35.0       600
515          35.0       600
516          35.0       600
517          35.0       600
518          35.0       600
519          35.0       600
520          35.0       600
521          35.0       600
522          35.0       600
523          35.0       600
524          35.0       600
525          36.0       600
526          35.0       600
527          35.0       600
528          35.0       600
529          35.0       600
530          35.0       600
531          35.0       600
532          35.0       600
533          35.0       600
534          36.0       600
535          35.0       600
536          36.0       600
537          35.0       600
538          35.0       600
539          35.0       600
540          34.0       600
541          36.0      1500
542          37.0      1500
543          37.0      1500
544          37.0      1500
545          39.0      1500
546          38.0      1500
547          38.0      1500
548          38.0      1500
549          38.0      1500
550          38.0      1500
551          39.0      1500
552          38.0      1500
553          39.0      1500
554          38.0      1500
555          39.0      1500
556          38.0      1500
557          40.0      1500
558          39.0      1500
559          40.0      1500
560          40.0      1500
561          40.0      1500
562          39.0      1500
563          39.0      1500
564          39.0      1500
565          41.0      1500
566          40.0      1500
567          40.0      1500
568          41.0      1500
569          41.0      1500
570          40.0      1500
571          40.0      1500
572          40.0      1500
573          40.0      1500
574          41.0      1500
575          41.0      1500
576          40.0      1500
577          40.0      1500
578          40.0      1500
579          41.0      1500
580          40.0      1500
581          41.0      1500
582          40.0      1500
583          40.0      1500
584          40.0      1500
585          41.0      1500
586          41.0      1500
587          42.0      1500
